size_class,severity,method,n_is,nd_size_median,nd_size_q1,nd_size_q3,nd_size_iqr,contrib_inclusive_median,contrib_inclusive_q1,contrib_inclusive_q3,contrib_inclusive_iqr,contrib_unique_median,contrib_unique_q1,contrib_unique_q3,contrib_unique_iqr,runtime_median_seconds_median,runtime_median_seconds_q1,runtime_median_seconds_q3,runtime_median_seconds_iqr,ttff_median_seconds_median,ttff_median_seconds_q1,ttff_median_seconds_q3,ttff_median_seconds_iqr,feasibility_rate_median,feasibility_rate_q1,feasibility_rate_q3,feasibility_rate_iqr
medium,schwer,V1,4,6.0,5.0,7.0,2.0,0.023671954336940155,0.016991869918699186,0.029252058153792258,0.012260188235093072,0.019757897997109232,0.014308943089430896,0.025119617224880382,0.010810674135449486,27.031500000011874,26.32850000000326,27.605000000010477,1.2765000000072177,0.9764999999897555,0.9332500000091386,1.2497500000245054,0.3165000000153668,1.0,1.0,1.0,0.0
medium,schwer,V2,4,4.0,3.0,4.0,1.0,0.009298813376483278,0.005782612956973439,0.016497422277769097,0.010714809320795658,0.007234321435773341,0.005007390983000739,0.011102120084156012,0.006094729101155273,6.320000000006985,6.05449999999837,6.945749999998952,0.8912500000005821,1.0544999999838183,0.976249999999709,1.1639999999897555,0.1877499999900465,1.0,1.0,1.0,0.0
medium,schwer,V3,4,25.0,23.75,27.0,3.25,0.030707070707070707,0.01837138863000932,0.04150360695930973,0.023132218329300406,0.030707070707070707,0.014317334575955267,0.04000660097128578,0.02568926639533051,65.46150000000489,61.89475000001403,66.5115000000078,4.616749999993772,0.031000000017229468,0.01600000000325963,0.03200000000651926,0.01600000000325963,1.0,1.0,1.0,0.0
medium,schwer,V4,4,168.5,145.0,191.75,46.75,0.9463063063063063,0.9199632231599794,0.9567821710653054,0.03681894790532603,0.9444315992292871,0.9154722051959074,0.9567821710653054,0.04130996586939795,90.0,90.0,90.0,0.0,0.023499999995692633,0.01599999999598367,0.030999999988125637,0.014999999992141966,1.0,1.0,1.0,0.0
small,leicht,V1,4,4.0,3.75,4.0,0.25,0.020131968758416375,0.018576382273368136,0.027291346646185356,0.00871496437281722,0.016901078293483356,0.012043363078639152,0.02190982776089159,0.009866464682252437,4.273499999995693,1.6679999999905704,7.0627499999973224,5.394750000006752,0.14100000000325963,0.125,0.16075000000273576,0.03575000000273576,1.0,1.0,1.0,0.0
small,leicht,V2,4,2.5,2.0,3.0,1.0,0.010218253968253968,0.006299630474093876,0.01507936507936508,0.008779734605271204,0.006289556962025317,0.0,0.0071710007880220646,0.0071710007880220646,0.9379999999946449,0.8709999999991851,0.992500000014843,0.12150000001565786,0.1409999999887077,0.13699999998061685,0.15625000001455192,0.019250000033935066,1.0,1.0,1.0,0.0
small,leicht,V3,4,23.0,22.75,23.25,0.5,0.03920454545454546,0.011477797870202934,0.07424714434060228,0.06276934647039935,0.03323863636363636,0.004746835443037975,0.06573208722741432,0.060985251784376346,14.710500000001048,13.12449999999808,15.99649999999383,2.871999999995751,0.0,0.0,0.015249999982188456,0.015249999982188456,1.0,1.0,1.0,0.0
small,leicht,V4,4,151.5,128.25,193.5,65.25,0.947052304964539,0.9058324679820007,0.9698142098815844,0.06398174189958372,0.9403812056737588,0.8969712703357563,0.96345447121274,0.06648320087698367,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
small,mittel,V1,4,5.0,4.0,6.0,2.0,0.022207245709777106,0.018620974401321225,0.025119426751592358,0.006498452350271133,0.018898809523809526,0.01325883700487467,0.022839431872893598,0.009580594868018927,6.327499999999418,2.2694999999948777,14.418000000012398,12.14850000001752,0.15599999998812564,0.14000000001396984,0.15700000000651926,0.01699999999254942,1.0,1.0,1.0,0.0
small,mittel,V2,4,3.0,3.0,4.0,1.0,0.00937019969278034,0.004335260115606936,0.011948529411764705,0.007613269296157769,0.002702702702702703,0.0,0.007699830918675198,0.007699830918675198,0.9375,0.8910000000032596,0.9727500000080909,0.08175000000483124,0.15599999998812564,0.15224999999190914,0.15625000001455192,0.00400000002264278,1.0,1.0,1.0,0.0
small,mittel,V3,4,23.5,22.75,24.25,1.5,0.01334503950834065,0.006038851351351352,0.030669106333430365,0.024630254982079013,0.006672519754170325,0.0,0.02453528506674429,0.02453528506674429,14.000499999994645,12.7384999999922,15.479750000005879,2.741250000013679,0.0,0.0,0.015250000004016329,0.015250000004016329,1.0,1.0,1.0,0.0
small,mittel,V4,4,164.5,132.0,204.25,72.25,0.9611120697092572,0.950317393144308,0.97196349905601,0.021646105911702018,0.9544905530152705,0.9441070672873465,0.9672907488986784,0.023183681611331886,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
small,schwer,V1,4,5.0,5.0,6.0,1.0,0.019334975369458128,0.01385996079392306,0.024619611158072697,0.010759650364149637,0.01604643222942984,0.011216931216931217,0.022939560439560438,0.01172262922262922,3.0785000000178115,2.4527499999967404,9.944750000002387,7.492000000005646,0.15600000000267755,0.15224999999190914,0.16075000000273576,0.008500000010826625,1.0,1.0,1.0,0.0
small,schwer,V2,4,3.5,3.0,4.0,1.0,0.01120879120879121,0.008195970695970696,0.012122492891723662,0.003926522195752966,0.006530008453085376,0.0,0.011867442901925662,0.011867442901925662,0.9764999999897555,0.8709999999991851,1.1637500000142609,0.2927500000150758,0.15650000001187436,0.14100000000325963,0.17199999999866122,0.030999999995401595,1.0,1.0,1.0,0.0
